Freq.;Voutdb;Voutrad
1.83231442237119e+00;1.60132984445376e-06;-1.42679520530357e-03
1.83653834334832e+00;1.60872124146878e-06;-1.43008434777775e-03
1.84077200146893e+00;1.61614675637693e-06;-1.43338107278462e-03
1.84501541917945e+00;1.62360654732779e-06;-1.43668539780563e-03
1.84926861897805e+00;1.63110076861365e-06;-1.43999734036256e-03
1.85353162341479e+00;1.63862958031274e-06;-1.44331691801726e-03
1.85780445509167e+00;1.64619314636061e-06;-1.44664414837289e-03
1.86208713666284e+00;1.65379162297820e-06;-1.44997904907242e-03
1.86637969083464e+00;1.66142517410104e-06;-1.45332163779974e-03
1.87068214036577e+00;1.66909395595007e-06;-1.45667193227977e-03
1.87499450806739e+00;1.67679814210409e-06;-1.46002995027803e-03
1.87931681680324e+00;1.68453788299808e-06;-1.46339570960125e-03
1.88364908948977e+00;1.69231335028220e-06;-1.46676922809671e-03
1.88799134909627e+00;1.70012470596332e-06;-1.47015052365356e-03
1.89234361864495e+00;1.70797211976296e-06;-1.47353961420148e-03
1.89670592121112e+00;1.71585575561665e-06;-1.47693651771219e-03
1.90107827992327e+00;1.72377578131725e-06;-1.48034125219838e-03
1.90546071796322e+00;1.73173236272893e-06;-1.48375383571437e-03
1.90985325856621e+00;1.73972567150186e-06;-1.48717428635643e-03
1.91425592502106e+00;1.74775587157158e-06;-1.49060262226206e-03
1.91866874067026e+00;1.75582314037419e-06;-1.49403886161062e-03
1.92309172891013e+00;1.76392764570254e-06;-1.49748302262400e-03
1.92752491319091e+00;1.77206955920677e-06;-1.50093512356576e-03
1.93196831701690e+00;1.78024905446570e-06;-1.50439518274096e-03
1.93642196394658e+00;1.78846630505813e-06;-1.50786321849783e-03
1.94088587759275e+00;1.79672148263419e-06;-1.51133924922674e-03
1.94536008162263e+00;1.80501476655866e-06;-1.51482329335969e-03
1.94984459975802e+00;1.81334632848167e-06;-1.51831536937232e-03
1.95433945577537e+00;1.82171634969665e-06;-1.52181549578181e-03
1.95884467350596e+00;1.83012500378239e-06;-1.52532369114879e-03
1.96336027683602e+00;1.83857247010365e-06;-1.52883997407641e-03
1.96788628970682e+00;1.84705892802518e-06;-1.53236436321076e-03
1.97242273611482e+00;1.85558455884040e-06;-1.53589687724068e-03
1.97696964011183e+00;1.86414953998540e-06;-1.53943753489873e-03
1.98152702580507e+00;1.87275405661091e-06;-1.54298635496001e-03
1.98609491735734e+00;1.88139828808167e-06;-1.54654335624317e-03
1.99067333898716e+00;1.89008242147707e-06;-1.55010855761047e-03
1.99526231496885e+00;1.89880664001914e-06;-1.55368197796751e-03
1.99986186963271e+00;1.90757112307265e-06;-1.55726363626323e-03
2.00447202736513e+00;1.91637606543157e-06;-1.56085355149050e-03
2.00909281260870e+00;1.92522164838931e-06;-1.56445174268612e-03
2.01372424986236e+00;1.93410806095389e-06;-1.56805822893062e-03
2.01836636368153e+00;1.94303548827601e-06;-1.57167302934875e-03
2.02301917867824e+00;1.95200412514964e-06;-1.57529616310882e-03
2.02768271952125e+00;1.96101415865415e-06;-1.57892764942374e-03
2.03235701093619e+00;1.97006578358352e-06;-1.58256750755105e-03
2.03704207770569e+00;1.97915918315978e-06;-1.58621575679213e-03
2.04173794466950e+00;1.98829456182019e-06;-1.58987241649308e-03
2.04644463672464e+00;1.99747210085814e-06;-1.59353750604454e-03
2.05116217882553e+00;2.00669200663951e-06;-1.59721104488215e-03
2.05589059598411e+00;2.01595446624367e-06;-1.60089305248610e-03
2.06062991326997e+00;2.02525968410784e-06;-1.60458354838139e-03
2.06538015581050e+00;2.03460784924004e-06;-1.60828255213855e-03
2.07014134879101e+00;2.04399916414884e-06;-1.61199008337272e-03
2.07491351745488e+00;2.05343382748552e-06;-1.61570616174468e-03
2.07969668710366e+00;2.06291203982999e-06;-1.61943080696014e-03
2.08449088309726e+00;2.07243399790488e-06;-1.62316403877059e-03
2.08929613085401e+00;2.08199991000472e-06;-1.62690587697289e-03
2.09411245585086e+00;2.09160997478077e-06;-1.63065634140948e-03
2.09893988362349e+00;2.10126440052758e-06;-1.63441545196925e-03
2.10377843976644e+00;2.11096338589640e-06;-1.63818322858589e-03
2.10862814993326e+00;2.12070714496773e-06;-1.64195969123962e-03
2.11348903983661e+00;2.13049587446417e-06;-1.64574485995696e-03
2.11836113524847e+00;2.14032978460892e-06;-1.64953875481026e-03
2.12324446200018e+00;2.15020909141111e-06;-1.65334139591809e-03
2.12813904598268e+00;2.16013399545064e-06;-1.65715280344572e-03
2.13304491314654e+00;2.17010471080802e-06;-1.66097299760475e-03
2.13796208950220e+00;2.18012144963508e-06;-1.66480199865338e-03
2.14289060112002e+00;2.19018442215497e-06;-1.66863982689695e-03
2.14783047413050e+00;2.20029384823416e-06;-1.67248650268677e-03
2.15278173472434e+00;2.21044993038120e-06;-1.67634204642190e-03
2.15774440915263e+00;2.22065289424849e-06;-1.68020647854800e-03
2.16271852372698e+00;2.23090295005921e-06;-1.68407981955802e-03
2.16770410481966e+00;2.24120032346574e-06;-1.68796208999216e-03
2.17270117886371e+00;2.25154522276261e-06;-1.69185331043800e-03
2.17770977235312e+00;2.26193787167356e-06;-1.69575350153073e-03
2.18272991184296e+00;2.27237849199368e-06;-1.69966268395266e-03
2.18776162394952e+00;2.28286730358939e-06;-1.70358087843449e-03
2.19280493535041e+00;2.29340453211310e-06;-1.70750810575416e-03
2.19785987278479e+00;2.30399039550257e-06;-1.71144438673798e-03
2.20292646305342e+00;2.31462512133885e-06;-1.71538974225969e-03
2.20800473301886e+00;2.32530893334566e-06;-1.71934419324190e-03
2.21309470960560e+00;2.33604206103272e-06;-1.72330776065488e-03
2.21819641980018e+00;2.34682473390970e-06;-1.72728046551765e-03
2.22330989065136e+00;2.35765716991437e-06;-1.73126232889746e-03
2.22843514927026e+00;2.36853961012835e-06;-1.73525337191036e-03
2.23357222283049e+00;2.37947228213266e-06;-1.73925361572079e-03
2.23872113856830e+00;2.39045541350834e-06;-1.74326308154240e-03
2.24388192378273e+00;2.40148924340835e-06;-1.74728179063754e-03
2.24905460583574e+00;2.41257400134235e-06;-1.75130976431736e-03
2.25423921215239e+00;2.42370992646331e-06;-1.75534702394299e-03
2.25943577022094e+00;2.43489725213820e-06;-1.75939359092349e-03
2.26464430759302e+00;2.44613621366267e-06;-1.76344948671868e-03
2.26986485188378e+00;2.45742705211831e-06;-1.76751473283702e-03
2.27509743077203e+00;2.46877000858671e-06;-1.77158935083692e-03
2.28034207200038e+00;2.48016532029217e-06;-1.77567336232612e-03
2.28559880337539e+00;2.49161323217358e-06;-1.77976678896303e-03
2.29086765276773e+00;2.50311398145522e-06;-1.78386965245478e-03
2.29614864811232e+00;2.51466782079061e-06;-1.78798197456005e-03
2.30144181740847e+00;2.52627498740402e-06;-1.79210377708627e-03
2.30674718872003e+00;2.53793573009165e-06;-1.79623508189220e-03
2.31206479017555e+00;2.54965029572104e-06;-1.80037591088634e-03
2.31739464996844e+00;2.56141893115975e-06;-1.80452628602815e-03
2.32273679635706e+00;2.57324189098991e-06;-1.80868622932740e-03
2.32809125766496e+00;2.58511942400772e-06;-1.81285576284523e-03
2.33345806228096e+00;2.59705177900938e-06;-1.81703490869288e-03
2.33883723865931e+00;2.60903921250568e-06;-1.82122368903317e-03
2.34422881531988e+00;2.62108197715011e-06;-1.82542212607960e-03
2.34963282084826e+00;2.63318032752482e-06;-1.82963024209738e-03
2.35504928389597e+00;2.64533452014061e-06;-1.83384805940248e-03
2.36047823318053e+00;2.65754481536557e-06;-1.83807560036336e-03
2.36591969748571e+00;2.66981147163916e-06;-1.84231288739868e-03
2.37137370566161e+00;2.68213474740081e-06;-1.84655994297965e-03
2.37684028662483e+00;2.69451490301862e-06;-1.85081678962960e-03
2.38231946935864e+00;2.70695220271798e-06;-1.85508344992311e-03
2.38781128291313e+00;2.71944691265296e-06;-1.85935994648705e-03
2.39331575640534e+00;2.73199929319164e-06;-1.86364630200058e-03
2.39883291901944e+00;2.74460961434536e-06;-1.86794253919523e-03
2.40436280000689e+00;2.75727814419684e-06;-1.87224868085490e-03
2.40990542868655e+00;2.77000514311415e-06;-1.87656474981588e-03
2.41546083444489e+00;2.78279089075190e-06;-1.88089076896724e-03
2.42102904673613e+00;2.79563565326413e-06;-1.88522676125091e-03
2.42661009508237e+00;2.80853970644816e-06;-1.88957274966171e-03
2.43220400907377e+00;2.82150332224396e-06;-1.89392875724743e-03
2.43781081836870e+00;2.83452677066288e-06;-1.89829480710902e-03
2.44343055269392e+00;2.84761033714549e-06;-1.90267092240122e-03
2.44906324184470e+00;2.86075429363176e-06;-1.90705712633104e-03
2.45470891568498e+00;2.87395891977630e-06;-1.91145344216025e-03
2.46036760414758e+00;2.88722449330504e-06;-1.91585989320331e-03
2.46603933723429e+00;2.90055129965855e-06;-1.92027650282903e-03
2.47172414501608e+00;2.91393961656276e-06;-1.92470329445990e-03
2.47742205763324e+00;2.92738973524418e-06;-1.92914029157287e-03
2.48313310529552e+00;2.94090193535740e-06;-1.93358751769797e-03
2.48885731828234e+00;2.95447650234295e-06;-1.93804499642098e-03
2.49459472694290e+00;2.96811372935600e-06;-1.94251275138076e-03
2.50034536169638e+00;2.98181390376573e-06;-1.94699080627154e-03
2.50610925303206e+00;2.99557731294134e-06;-1.95147918484169e-03
2.51188643150953e+00;3.00940425196662e-06;-1.95597791089467e-03
2.51767692775880e+00;3.02329501206808e-06;-1.96048700828908e-03
2.52348077248052e+00;3.03724988832949e-06;-1.96500650093770e-03
2.52929799644609e+00;3.05126917969197e-06;-1.96953641280927e-03
2.53512863049786e+00;3.06535317931064e-06;-1.97407676792747e-03
2.54097270554925e+00;3.07950218612660e-06;-1.97862759037137e-03
2.54683025258499e+00;3.09371650293826e-06;-1.98318890427597e-03
2.55270130266119e+00;3.10799643061534e-06;-1.98776073383155e-03
2.55858588690559e+00;3.12234227195625e-06;-1.99234310328413e-03
