time;V(in);V(n);V(n.p);V(p)
3.013228890134463e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
3.015505717173604e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
3.019655161064953e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
3.023408858590832e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
3.036037929059436e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
3.100923135622374e-05;2.798154e+00;3.899217e+00;2.798649e+00;1.100568e+00
3.165808342185313e-05;2.668383e+00;3.834328e+00;2.668881e+00;1.165447e+00
3.230693548748251e-05;2.538613e+00;3.769438e+00;2.539114e+00;1.230324e+00
3.295578755311190e-05;2.408842e+00;3.704545e+00;2.409347e+00;1.295198e+00
3.360463961874128e-05;2.279072e+00;3.639651e+00;2.279582e+00;1.360070e+00
3.425349168437067e-05;2.149302e+00;3.574756e+00;2.149817e+00;1.424938e+00
3.490234375000006e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
3.500000000000006e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
3.500028170073401e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
3.500084510220192e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
3.500197190513773e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
3.500360618205833e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
3.500552403927049e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
3.500762546019627e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
3.501003538950089e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
3.501251642409828e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
3.501576595303634e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
3.501978004755676e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
3.502380162018663e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
3.503168507835158e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
3.503615902786420e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
3.504080774612401e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
3.504713864351224e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
3.506607704487775e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
3.507686309442901e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492857e+00
3.508925848325341e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
3.510262185352493e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
3.511842800254039e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
3.513750752274821e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
